Funcion objetivo: 3539265.0(error termination)


** Creation Runtime:0:10:19
** Execution Default Runtime:0:21:54

La tarea 14, el trabajador 2, el horario 1, el dia 2, rango salarial 2: 1.0
La tarea 14, el trabajador 37, el horario 1, el dia 2, rango salarial 1: 1.0
La tarea 14, el trabajador 40, el horario 1, el dia 2, rango salarial 1: 1.0
La tarea 14, el trabajador 65, el horario 1, el dia 2, rango salarial 1: 1.0
La tarea 14, el trabajador 91, el horario 1, el dia 2, rango salarial 0: 1.0
La tarea 15, el trabajador 4, el horario 1, el dia 0, rango salarial 0: 1.0
La tarea 15, el trabajador 21, el horario 1, el dia 0, rango salarial 2: 1.0
La tarea 15, el trabajador 28, el horario 1, el dia 0, rango salarial 0: 1.0
La tarea 15, el trabajador 85, el horario 1, el dia 0, rango salarial 0: 1.0
La tarea 16, el trabajador 46, el horario 2, el dia 2, rango salarial 0: 1.0
La tarea 16, el trabajador 49, el horario 2, el dia 2, rango salarial 0: 1.0
La tarea 16, el trabajador 59, el horario 2, el dia 2, rango salarial 1: 1.0
La tarea 16, el trabajador 74, el horario 2, el dia 2, rango salarial 2: 1.0
La tarea 17, el trabajador 18, el horario 1, el dia 3, rango salarial 0: 1.0
La tarea 17, el trabajador 19, el horario 1, el dia 3, rango salarial 2: 1.0
La tarea 17, el trabajador 38, el horario 1, el dia 3, rango salarial 1: 1.0
La tarea 17, el trabajador 48, el horario 1, el dia 3, rango salarial 1: 1.0
La tarea 17, el trabajador 59, el horario 1, el dia 3, rango salarial 2: 1.0
La tarea 17, el trabajador 66, el horario 1, el dia 3, rango salarial 0: 1.0
La tarea 17, el trabajador 71, el horario 1, el dia 3, rango salarial 2: 1.0
La tarea 17, el trabajador 78, el horario 1, el dia 3, rango salarial 2: 1.0
La tarea 17, el trabajador 92, el horario 1, el dia 3, rango salarial 1: 1.0
La tarea 17, el trabajador 95, el horario 1, el dia 3, rango salarial 1: 1.0
La tarea 18, el trabajador 16, el horario 3, el dia 4, rango salarial 3: 1.0
La tarea 18, el trabajador 47, el horario 3, el dia 4, rango salarial 1: 1.0
La tarea 18, el trabajador 50, el horario 3, el dia 4, rango salarial 1: 1.0
La tarea 18, el trabajador 71, el horario 3, el dia 4, rango salarial 1: 1.0
La tarea 18, el trabajador 76, el horario 3, el dia 4, rango salarial 0: 1.0
La tarea 18, el trabajador 82, el horario 3, el dia 4, rango salarial 2: 1.0
La tarea 18, el trabajador 95, el horario 3, el dia 4, rango salarial 1: 1.0
La tarea 19, el trabajador 46, el horario 1, el dia 2, rango salarial 2: 1.0
La tarea 19, el trabajador 61, el horario 1, el dia 2, rango salarial 2: 1.0
La tarea 19, el trabajador 93, el horario 1, el dia 2, rango salarial 2: 1.0
La tarea 20, el trabajador 13, el horario 4, el dia 4, rango salarial 2: 1.0
La tarea 20, el trabajador 23, el horario 4, el dia 4, rango salarial 1: 1.0
La tarea 20, el trabajador 37, el horario 4, el dia 4, rango salarial 2: 1.0
La tarea 20, el trabajador 38, el horario 4, el dia 4, rango salarial 1: 1.0
La tarea 20, el trabajador 43, el horario 4, el dia 4, rango salarial 0: 1.0
La tarea 20, el trabajador 49, el horario 4, el dia 4, rango salarial 0: 1.0
La tarea 20, el trabajador 54, el horario 4, el dia 4, rango salarial 0: 1.0
La tarea 20, el trabajador 83, el horario 4, el dia 4, rango salarial 1: 1.0
La tarea 20, el trabajador 90, el horario 4, el dia 4, rango salarial 0: 1.0
La tarea 21, el trabajador 11, el horario 0, el dia 2, rango salarial 2: 1.0
La tarea 21, el trabajador 17, el horario 0, el dia 2, rango salarial 0: 1.0
La tarea 21, el trabajador 22, el horario 0, el dia 2, rango salarial 2: 1.0
La tarea 21, el trabajador 23, el horario 0, el dia 2, rango salarial 1: 1.0
La tarea 21, el trabajador 42, el horario 0, el dia 2, rango salarial 0: 1.0
La tarea 21, el trabajador 58, el horario 0, el dia 2, rango salarial 2: 1.0
La tarea 21, el trabajador 72, el horario 0, el dia 2, rango salarial 1: 1.0
La tarea 21, el trabajador 87, el horario 0, el dia 2, rango salarial 2: 1.0
La tarea 21, el trabajador 91, el horario 0, el dia 2, rango salarial 0: 1.0
La tarea 21, el trabajador 93, el horario 0, el dia 2, rango salarial 2: 1.0
La tarea 22, el trabajador 1, el horario 0, el dia 3, rango salarial 2: 1.0
La tarea 22, el trabajador 14, el horario 0, el dia 3, rango salarial 2: 1.0
La tarea 22, el trabajador 38, el horario 0, el dia 3, rango salarial 1: 1.0
La tarea 22, el trabajador 72, el horario 0, el dia 3, rango salarial 3: 1.0
La tarea 22, el trabajador 82, el horario 0, el dia 3, rango salarial 1: 1.0
La tarea 24, el trabajador 37, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 24, el trabajador 41, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 24, el trabajador 48, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 24, el trabajador 86, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 25, el trabajador 7, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 25, el trabajador 12, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 25, el trabajador 13, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 25, el trabajador 20, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 25, el trabajador 26, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 25, el trabajador 43, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 25, el trabajador 65, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 25, el trabajador 69, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 25, el trabajador 78, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 25, el trabajador 84, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 25, el trabajador 85, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 26, el trabajador 7, el horario 4, el dia 3, rango salarial 2: 1.0
La tarea 26, el trabajador 38, el horario 4, el dia 3, rango salarial 0: 1.0
La tarea 26, el trabajador 49, el horario 4, el dia 3, rango salarial 2: 1.0
La tarea 26, el trabajador 50, el horario 4, el dia 3, rango salarial 3: 1.0
La tarea 26, el trabajador 62, el horario 4, el dia 3, rango salarial 2: 1.0
