La tarea 233, el trabajador 5, el horario 1, el dia 2, rango salarial 1: 1.0
La tarea 237, el trabajador 0, el horario 4, el dia 2, rango salarial 2: 1.0
La tarea 237, el trabajador 1, el horario 4, el dia 2, rango salarial 0: 1.0
La tarea 237, el trabajador 7, el horario 4, el dia 2, rango salarial 0: 1.0
La tarea 245, el trabajador 2, el horario 4, el dia 2, rango salarial 2: 1.0
La tarea 245, el trabajador 3, el horario 4, el dia 2, rango salarial 2: 1.0
La tarea 245, el trabajador 5, el horario 4, el dia 2, rango salarial 0: 1.0
La tarea 245, el trabajador 7, el horario 4, el dia 2, rango salarial 1: 1.0
La tarea 259, el trabajador 1, el horario 3, el dia 0, rango salarial 1: 1.0
La tarea 259, el trabajador 6, el horario 3, el dia 0, rango salarial 0: 1.0
La tarea 259, el trabajador 8, el horario 3, el dia 0, rango salarial 0: 1.0
La tarea 259, el trabajador 9, el horario 3, el dia 0, rango salarial 0: 1.0
La tarea 260, el trabajador 3, el horario 0, el dia 3, rango salarial 1: 1.0
La tarea 260, el trabajador 4, el horario 0, el dia 3, rango salarial 2: 1.0
La tarea 260, el trabajador 7, el horario 0, el dia 3, rango salarial 0: 1.0
La tarea 266, el trabajador 0, el horario 4, el dia 1, rango salarial 0: 1.0
La tarea 266, el trabajador 4, el horario 4, el dia 1, rango salarial 1: 1.0
La tarea 266, el trabajador 5, el horario 4, el dia 1, rango salarial 1: 1.0
La tarea 279, el trabajador 0, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 279, el trabajador 4, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 279, el trabajador 4, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 279, el trabajador 6, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 296, el trabajador 1, el horario 1, el dia 5, rango salarial 2: 1.0
La tarea 296, el trabajador 2, el horario 1, el dia 5, rango salarial 1: 1.0
La tarea 296, el trabajador 8, el horario 1, el dia 5, rango salarial 0: 1.0
La tarea 297, el trabajador 1, el horario 0, el dia 2, rango salarial 2: 1.0
La tarea 297, el trabajador 7, el horario 0, el dia 2, rango salarial 2: 1.0
La tarea 297, el trabajador 8, el horario 0, el dia 2, rango salarial 2: 1.0
La tarea 302, el trabajador 1, el horario 0, el dia 1, rango salarial 3: 1.0
La tarea 302, el trabajador 2, el horario 0, el dia 1, rango salarial 0: 1.0
La tarea 302, el trabajador 3, el horario 0, el dia 1, rango salarial 0: 1.0
La tarea 302, el trabajador 6, el horario 0, el dia 1, rango salarial 3: 1.0
La tarea 302, el trabajador 9, el horario 0, el dia 1, rango salarial 1: 1.0
La tarea 325, el trabajador 2, el horario 2, el dia 3, rango salarial 2: 1.0
La tarea 325, el trabajador 4, el horario 2, el dia 3, rango salarial 3: 1.0
La tarea 325, el trabajador 5, el horario 2, el dia 3, rango salarial 2: 1.0
La tarea 325, el trabajador 6, el horario 2, el dia 3, rango salarial 1: 1.0
La tarea 325, el trabajador 9, el horario 2, el dia 3, rango salarial 1: 1.0
La tarea 350, el trabajador 2, el horario 0, el dia 3, rango salarial 0: 1.0
La tarea 350, el trabajador 3, el horario 0, el dia 3, rango salarial 1: 1.0
La tarea 350, el trabajador 3, el horario 0, el dia 3, rango salarial 2: 1.0
La tarea 350, el trabajador 8, el horario 0, el dia 3, rango salarial 1: 1.0
La tarea 350, el trabajador 8, el horario 0, el dia 3, rango salarial 2: 1.0
La tarea 361, el trabajador 4, el horario 0, el dia 5, rango salarial 1: 1.0
La tarea 361, el trabajador 4, el horario 0, el dia 5, rango salarial 2: 1.0
La tarea 361, el trabajador 5, el horario 0, el dia 5, rango salarial 2: 1.0
La tarea 361, el trabajador 7, el horario 0, el dia 5, rango salarial 0: 1.0
La tarea 361, el trabajador 8, el horario 0, el dia 5, rango salarial 1: 1.0
La tarea 369, el trabajador 0, el horario 4, el dia 1, rango salarial 1: 1.0
La tarea 369, el trabajador 5, el horario 4, el dia 1, rango salarial 0: 1.0
La tarea 369, el trabajador 6, el horario 4, el dia 1, rango salarial 2: 1.0
La tarea 377, el trabajador 0, el horario 3, el dia 4, rango salarial 2: 1.0
La tarea 377, el trabajador 2, el horario 3, el dia 4, rango salarial 0: 1.0
La tarea 377, el trabajador 3, el horario 3, el dia 4, rango salarial 0: 1.0
La tarea 381, el trabajador 1, el horario 0, el dia 1, rango salarial 0: 1.0
La tarea 381, el trabajador 1, el horario 0, el dia 1, rango salarial 1: 1.0
La tarea 381, el trabajador 7, el horario 0, el dia 1, rango salarial 2: 1.0
La tarea 383, el trabajador 0, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 383, el trabajador 2, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 383, el trabajador 4, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 383, el trabajador 8, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 388, el trabajador 3, el horario 4, el dia 2, rango salarial 1: 1.0
La tarea 388, el trabajador 4, el horario 4, el dia 2, rango salarial 1: 1.0
La tarea 388, el trabajador 5, el horario 4, el dia 2, rango salarial 2: 1.0
La tarea 388, el trabajador 6, el horario 4, el dia 2, rango salarial 0: 1.0
La tarea 388, el trabajador 9, el horario 4, el dia 2, rango salarial 0: 1.0
La tarea 392, el trabajador 2, el horario 3, el dia 1, rango salarial 1: 1.0
La tarea 392, el trabajador 6, el horario 3, el dia 1, rango salarial 1: 1.0
La tarea 392, el trabajador 9, el horario 3, el dia 1, rango salarial 0: 1.0
La tarea 394, el trabajador 1, el horario 0, el dia 1, rango salarial 2: 1.0
La tarea 394, el trabajador 3, el horario 0, el dia 1, rango salarial 0: 1.0
La tarea 394, el trabajador 4, el horario 0, el dia 1, rango salarial 0: 1.0
