La tarea 28, el trabajador 6, el horario 1, el dia 5, rango salarial 0: 1.0
La tarea 28, el trabajador 7, el horario 1, el dia 5, rango salarial 1: 1.0
La tarea 28, el trabajador 9, el horario 1, el dia 5, rango salarial 1: 1.0
La tarea 31, el trabajador 3, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 31, el trabajador 8, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 31, el trabajador 9, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 39, el trabajador 2, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 39, el trabajador 4, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 39, el trabajador 9, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 52, el trabajador 0, el horario 1, el dia 4, rango salarial 2: 1.0
La tarea 52, el trabajador 2, el horario 1, el dia 4, rango salarial 2: 1.0
La tarea 52, el trabajador 3, el horario 1, el dia 4, rango salarial 0: 1.0
La tarea 52, el trabajador 8, el horario 1, el dia 4, rango salarial 0: 1.0
La tarea 56, el trabajador 3, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 56, el trabajador 4, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 56, el trabajador 8, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 87, el trabajador 0, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 87, el trabajador 3, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 87, el trabajador 7, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 89, el trabajador 2, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 89, el trabajador 3, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 89, el trabajador 8, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 101, el trabajador 4, el horario 0, el dia 2, rango salarial 2: 1.0
La tarea 101, el trabajador 5, el horario 0, el dia 2, rango salarial 2: 1.0
La tarea 101, el trabajador 8, el horario 0, el dia 2, rango salarial 1: 1.0
La tarea 104, el trabajador 1, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 104, el trabajador 4, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 104, el trabajador 5, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 104, el trabajador 8, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 121, el trabajador 1, el horario 4, el dia 4, rango salarial 3: 1.0
La tarea 121, el trabajador 2, el horario 4, el dia 4, rango salarial 1: 1.0
La tarea 121, el trabajador 3, el horario 4, el dia 4, rango salarial 2: 1.0
La tarea 121, el trabajador 7, el horario 4, el dia 4, rango salarial 2: 1.0
La tarea 126, el trabajador 2, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 126, el trabajador 3, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 126, el trabajador 3, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 126, el trabajador 5, el horario 0, el dia 0, rango salarial 0: 1.0
