Funcion objetivo: 1285970.0(integer optimal solution)


** Creation Runtime:0:0:30
** Execution Default Runtime:0:21:21

La tarea 1, el trabajador 5, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 37, el trabajador 15, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 39, el trabajador 2, el horario 2, el dia 5, rango salarial 1: 1.0
La tarea 39, el trabajador 8, el horario 2, el dia 5, rango salarial 0: 1.0
La tarea 39, el trabajador 9, el horario 2, el dia 5, rango salarial 0: 1.0
La tarea 52, el trabajador 4, el horario 4, el dia 1, rango salarial 1: 1.0
La tarea 52, el trabajador 7, el horario 4, el dia 1, rango salarial 1: 1.0
La tarea 52, el trabajador 8, el horario 4, el dia 1, rango salarial 3: 1.0
La tarea 56, el trabajador 1, el horario 1, el dia 0, rango salarial 0: 1.0
La tarea 56, el trabajador 2, el horario 1, el dia 0, rango salarial 2: 1.0
La tarea 56, el trabajador 7, el horario 1, el dia 0, rango salarial 1: 1.0
La tarea 56, el trabajador 8, el horario 1, el dia 0, rango salarial 1: 1.0
La tarea 57, el trabajador 1, el horario 4, el dia 2, rango salarial 2: 1.0
La tarea 57, el trabajador 9, el horario 4, el dia 2, rango salarial 0: 1.0
La tarea 57, el trabajador 10, el horario 4, el dia 2, rango salarial 0: 1.0
La tarea 57, el trabajador 15, el horario 4, el dia 2, rango salarial 1: 1.0
La tarea 57, el trabajador 16, el horario 4, el dia 2, rango salarial 0: 1.0
La tarea 57, el trabajador 17, el horario 4, el dia 2, rango salarial 1: 1.0
La tarea 57, el trabajador 18, el horario 4, el dia 2, rango salarial 2: 1.0
La tarea 59, el trabajador 5, el horario 0, el dia 1, rango salarial 2: 1.0
La tarea 59, el trabajador 8, el horario 0, el dia 1, rango salarial 0: 1.0
La tarea 59, el trabajador 14, el horario 0, el dia 1, rango salarial 0: 1.0
La tarea 59, el trabajador 16, el horario 0, el dia 1, rango salarial 1: 1.0
La tarea 60, el trabajador 4, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 60, el trabajador 5, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 60, el trabajador 10, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 60, el trabajador 12, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 60, el trabajador 16, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 61, el trabajador 3, el horario 4, el dia 0, rango salarial 1: 1.0
La tarea 61, el trabajador 5, el horario 4, el dia 0, rango salarial 1: 1.0
La tarea 61, el trabajador 7, el horario 4, el dia 0, rango salarial 0: 1.0
La tarea 61, el trabajador 9, el horario 4, el dia 0, rango salarial 2: 1.0
La tarea 61, el trabajador 13, el horario 4, el dia 0, rango salarial 2: 1.0
La tarea 62, el trabajador 0, el horario 4, el dia 4, rango salarial 0: 1.0
La tarea 62, el trabajador 1, el horario 4, el dia 4, rango salarial 2: 1.0
La tarea 62, el trabajador 11, el horario 4, el dia 4, rango salarial 1: 1.0
La tarea 62, el trabajador 14, el horario 4, el dia 4, rango salarial 0: 1.0
La tarea 62, el trabajador 15, el horario 4, el dia 4, rango salarial 1: 1.0
La tarea 63, el trabajador 1, el horario 0, el dia 0, rango salarial 3: 1.0
La tarea 63, el trabajador 6, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 63, el trabajador 7, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 63, el trabajador 17, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 67, el trabajador 3, el horario 4, el dia 0, rango salarial 2: 1.0
La tarea 67, el trabajador 4, el horario 4, el dia 0, rango salarial 2: 1.0
La tarea 67, el trabajador 10, el horario 4, el dia 0, rango salarial 0: 1.0
La tarea 67, el trabajador 12, el horario 4, el dia 0, rango salarial 0: 1.0
La tarea 67, el trabajador 15, el horario 4, el dia 0, rango salarial 3: 1.0
La tarea 67, el trabajador 18, el horario 4, el dia 0, rango salarial 2: 1.0
La tarea 68, el trabajador 2, el horario 4, el dia 5, rango salarial 2: 1.0
La tarea 68, el trabajador 6, el horario 4, el dia 5, rango salarial 0: 1.0
La tarea 68, el trabajador 18, el horario 4, el dia 5, rango salarial 3: 1.0
La tarea 73, el trabajador 4, el horario 4, el dia 4, rango salarial 2: 1.0
La tarea 73, el trabajador 8, el horario 4, el dia 4, rango salarial 2: 1.0
La tarea 73, el trabajador 12, el horario 4, el dia 4, rango salarial 1: 1.0
La tarea 73, el trabajador 16, el horario 4, el dia 4, rango salarial 2: 1.0
La tarea 77, el trabajador 3, el horario 0, el dia 1, rango salarial 2: 1.0
La tarea 77, el trabajador 11, el horario 0, el dia 1, rango salarial 0: 1.0
La tarea 77, el trabajador 14, el horario 0, el dia 1, rango salarial 1: 1.0
La tarea 77, el trabajador 15, el horario 0, el dia 1, rango salarial 0: 1.0
La tarea 78, el trabajador 2, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 78, el trabajador 5, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 78, el trabajador 7, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 78, el trabajador 8, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 78, el trabajador 14, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 78, el trabajador 16, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 79, el trabajador 2, el horario 0, el dia 4, rango salarial 1: 1.0
La tarea 79, el trabajador 12, el horario 0, el dia 4, rango salarial 2: 1.0
La tarea 79, el trabajador 18, el horario 0, el dia 4, rango salarial 1: 1.0
La tarea 80, el trabajador 0, el horario 0, el dia 1, rango salarial 2: 1.0
La tarea 80, el trabajador 6, el horario 0, el dia 1, rango salarial 2: 1.0
La tarea 80, el trabajador 11, el horario 0, el dia 1, rango salarial 2: 1.0
La tarea 80, el trabajador 13, el horario 0, el dia 1, rango salarial 2: 1.0
La tarea 80, el trabajador 15, el horario 0, el dia 1, rango salarial 0: 1.0
La tarea 80, el trabajador 16, el horario 0, el dia 1, rango salarial 3: 1.0
La tarea 83, el trabajador 4, el horario 4, el dia 0, rango salarial 0: 1.0
La tarea 83, el trabajador 10, el horario 4, el dia 0, rango salarial 1: 1.0
La tarea 83, el trabajador 18, el horario 4, el dia 0, rango salarial 1: 1.0
La tarea 86, el trabajador 0, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 86, el trabajador 4, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 86, el trabajador 10, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 86, el trabajador 16, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 86, el trabajador 18, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 87, el trabajador 0, el horario 4, el dia 0, rango salarial 0: 1.0
La tarea 87, el trabajador 3, el horario 4, el dia 0, rango salarial 1: 1.0
La tarea 87, el trabajador 10, el horario 4, el dia 0, rango salarial 1: 1.0
La tarea 87, el trabajador 12, el horario 4, el dia 0, rango salarial 2: 1.0
La tarea 87, el trabajador 13, el horario 4, el dia 0, rango salarial 3: 1.0
La tarea 87, el trabajador 15, el horario 4, el dia 0, rango salarial 2: 1.0
La tarea 88, el trabajador 5, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 88, el trabajador 13, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 88, el trabajador 17, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 92, el trabajador 4, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 92, el trabajador 7, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 92, el trabajador 9, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 92, el trabajador 10, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 92, el trabajador 12, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 92, el trabajador 16, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 92, el trabajador 17, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 93, el trabajador 2, el horario 4, el dia 0, rango salarial 0: 1.0
La tarea 93, el trabajador 6, el horario 4, el dia 0, rango salarial 0: 1.0
La tarea 93, el trabajador 14, el horario 4, el dia 0, rango salarial 0: 1.0
La tarea 93, el trabajador 18, el horario 4, el dia 0, rango salarial 0: 1.0
La tarea 96, el trabajador 3, el horario 4, el dia 0, rango salarial 0: 1.0
La tarea 96, el trabajador 5, el horario 4, el dia 0, rango salarial 3: 1.0
La tarea 96, el trabajador 7, el horario 4, el dia 0, rango salarial 0: 1.0
La tarea 96, el trabajador 11, el horario 4, el dia 0, rango salarial 0: 1.0
La tarea 97, el trabajador 3, el horario 0, el dia 2, rango salarial 1: 1.0
La tarea 97, el trabajador 4, el horario 0, el dia 2, rango salarial 0: 1.0
La tarea 97, el trabajador 5, el horario 0, el dia 2, rango salarial 0: 1.0
La tarea 97, el trabajador 7, el horario 0, el dia 2, rango salarial 1: 1.0
La tarea 97, el trabajador 11, el horario 0, el dia 2, rango salarial 3: 1.0
La tarea 99, el trabajador 0, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 99, el trabajador 10, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 99, el trabajador 12, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 99, el trabajador 13, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 99, el trabajador 18, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 101, el trabajador 0, el horario 1, el dia 5, rango salarial 1: 1.0
La tarea 101, el trabajador 3, el horario 1, el dia 5, rango salarial 0: 1.0
La tarea 101, el trabajador 10, el horario 1, el dia 5, rango salarial 2: 1.0
La tarea 101, el trabajador 15, el horario 1, el dia 5, rango salarial 2: 1.0
La tarea 101, el trabajador 18, el horario 1, el dia 5, rango salarial 1: 1.0
La tarea 121, el trabajador 0, el horario 0, el dia 1, rango salarial 1: 1.0
La tarea 121, el trabajador 1, el horario 0, el dia 1, rango salarial 2: 1.0
La tarea 121, el trabajador 5, el horario 0, el dia 1, rango salarial 1: 1.0
La tarea 121, el trabajador 11, el horario 0, el dia 1, rango salarial 0: 1.0
La tarea 121, el trabajador 13, el horario 0, el dia 1, rango salarial 1: 1.0
La tarea 121, el trabajador 14, el horario 0, el dia 1, rango salarial 0: 1.0
La tarea 121, el trabajador 16, el horario 0, el dia 1, rango salarial 0: 1.0
La tarea 124, el trabajador 1, el horario 4, el dia 0, rango salarial 1: 1.0
La tarea 124, el trabajador 2, el horario 4, el dia 0, rango salarial 0: 1.0
La tarea 124, el trabajador 8, el horario 4, el dia 0, rango salarial 1: 1.0
La tarea 124, el trabajador 12, el horario 4, el dia 0, rango salarial 3: 1.0
La tarea 124, el trabajador 17, el horario 4, el dia 0, rango salarial 1: 1.0
La tarea 129, el trabajador 5, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 129, el trabajador 6, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 129, el trabajador 11, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 129, el trabajador 14, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 133, el trabajador 7, el horario 0, el dia 4, rango salarial 0: 1.0
La tarea 133, el trabajador 11, el horario 0, el dia 4, rango salarial 2: 1.0
La tarea 133, el trabajador 13, el horario 0, el dia 4, rango salarial 0: 1.0
La tarea 133, el trabajador 14, el horario 0, el dia 4, rango salarial 1: 1.0
La tarea 133, el trabajador 16, el horario 0, el dia 4, rango salarial 0: 1.0
La tarea 137, el trabajador 6, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 137, el trabajador 9, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 137, el trabajador 11, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 138, el trabajador 0, el horario 4, el dia 1, rango salarial 0: 1.0
La tarea 138, el trabajador 6, el horario 4, el dia 1, rango salarial 1: 1.0
La tarea 138, el trabajador 13, el horario 4, el dia 1, rango salarial 1: 1.0
La tarea 138, el trabajador 18, el horario 4, el dia 1, rango salarial 1: 1.0
La tarea 140, el trabajador 3, el horario 4, el dia 0, rango salarial 0: 1.0
La tarea 140, el trabajador 11, el horario 4, el dia 0, rango salarial 1: 1.0
La tarea 140, el trabajador 14, el horario 4, el dia 0, rango salarial 1: 1.0
La tarea 141, el trabajador 7, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 141, el trabajador 9, el horario 0, el dia 0, rango salarial 3: 1.0
La tarea 141, el trabajador 10, el horario 0, el dia 0, rango salarial 3: 1.0
La tarea 141, el trabajador 12, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 142, el trabajador 1, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 142, el trabajador 7, el horario 0, el dia 0, rango salarial 3: 1.0
La tarea 142, el trabajador 13, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 142, el trabajador 14, el horario 0, el dia 0, rango salarial 3: 1.0
La tarea 142, el trabajador 15, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 143, el trabajador 3, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 143, el trabajador 4, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 143, el trabajador 5, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 143, el trabajador 9, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 143, el trabajador 10, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 143, el trabajador 12, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 143, el trabajador 15, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 143, el trabajador 17, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 144, el trabajador 4, el horario 0, el dia 1, rango salarial 2: 1.0
La tarea 144, el trabajador 5, el horario 0, el dia 1, rango salarial 0: 1.0
La tarea 144, el trabajador 9, el horario 0, el dia 1, rango salarial 1: 1.0
La tarea 150, el trabajador 1, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 150, el trabajador 3, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 150, el trabajador 9, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 150, el trabajador 10, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 150, el trabajador 12, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 150, el trabajador 17, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 156, el trabajador 3, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 156, el trabajador 4, el horario 0, el dia 0, rango salarial 3: 1.0
La tarea 156, el trabajador 10, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 156, el trabajador 12, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 156, el trabajador 18, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 157, el trabajador 2, el horario 3, el dia 2, rango salarial 0: 1.0
La tarea 157, el trabajador 5, el horario 3, el dia 2, rango salarial 1: 1.0
La tarea 157, el trabajador 8, el horario 3, el dia 2, rango salarial 1: 1.0
La tarea 157, el trabajador 19, el horario 3, el dia 2, rango salarial 1: 1.0
La tarea 167, el trabajador 3, el horario 1, el dia 5, rango salarial 0: 1.0
La tarea 167, el trabajador 9, el horario 1, el dia 5, rango salarial 1: 1.0
La tarea 167, el trabajador 11, el horario 1, el dia 5, rango salarial 0: 1.0
La tarea 167, el trabajador 14, el horario 1, el dia 5, rango salarial 2: 1.0
La tarea 169, el trabajador 2, el horario 4, el dia 5, rango salarial 0: 1.0
La tarea 169, el trabajador 8, el horario 4, el dia 5, rango salarial 0: 1.0
La tarea 169, el trabajador 12, el horario 4, el dia 5, rango salarial 1: 1.0
La tarea 169, el trabajador 17, el horario 4, el dia 5, rango salarial 2: 1.0
La tarea 172, el trabajador 1, el horario 0, el dia 2, rango salarial 2: 1.0
La tarea 172, el trabajador 2, el horario 0, el dia 2, rango salarial 2: 1.0
La tarea 172, el trabajador 8, el horario 0, el dia 2, rango salarial 2: 1.0
La tarea 172, el trabajador 17, el horario 0, el dia 2, rango salarial 2: 1.0
La tarea 172, el trabajador 19, el horario 0, el dia 2, rango salarial 0: 1.0
La tarea 176, el trabajador 1, el horario 3, el dia 1, rango salarial 0: 1.0
La tarea 176, el trabajador 2, el horario 3, el dia 1, rango salarial 2: 1.0
La tarea 176, el trabajador 6, el horario 3, el dia 1, rango salarial 0: 1.0
La tarea 176, el trabajador 9, el horario 3, el dia 1, rango salarial 2: 1.0
La tarea 176, el trabajador 17, el horario 3, el dia 1, rango salarial 0: 1.0
La tarea 176, el trabajador 18, el horario 3, el dia 1, rango salarial 0: 1.0
La tarea 176, el trabajador 19, el horario 3, el dia 1, rango salarial 0: 1.0
La tarea 177, el trabajador 0, el horario 4, el dia 0, rango salarial 1: 1.0
La tarea 177, el trabajador 5, el horario 4, el dia 0, rango salarial 2: 1.0
La tarea 177, el trabajador 11, el horario 4, el dia 0, rango salarial 1: 1.0
La tarea 177, el trabajador 16, el horario 4, el dia 0, rango salarial 1: 1.0
La tarea 177, el trabajador 17, el horario 4, el dia 0, rango salarial 3: 1.0
La tarea 182, el trabajador 1, el horario 3, el dia 1, rango salarial 1: 1.0
La tarea 182, el trabajador 2, el horario 3, el dia 1, rango salarial 1: 1.0
La tarea 182, el trabajador 6, el horario 3, el dia 1, rango salarial 2: 1.0
La tarea 182, el trabajador 7, el horario 3, el dia 1, rango salarial 2: 1.0
La tarea 182, el trabajador 9, el horario 3, el dia 1, rango salarial 0: 1.0
La tarea 182, el trabajador 13, el horario 3, el dia 1, rango salarial 2: 1.0
La tarea 182, el trabajador 17, el horario 3, el dia 1, rango salarial 0: 1.0
La tarea 182, el trabajador 19, el horario 3, el dia 1, rango salarial 1: 1.0
La tarea 186, el trabajador 1, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 186, el trabajador 2, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 186, el trabajador 6, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 186, el trabajador 13, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 186, el trabajador 14, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 186, el trabajador 18, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 188, el trabajador 7, el horario 3, el dia 4, rango salarial 0: 1.0
La tarea 188, el trabajador 8, el horario 3, el dia 4, rango salarial 2: 1.0
La tarea 188, el trabajador 17, el horario 3, el dia 4, rango salarial 0: 1.0
La tarea 188, el trabajador 19, el horario 3, el dia 4, rango salarial 0: 1.0
La tarea 190, el trabajador 0, el horario 4, el dia 0, rango salarial 2: 1.0
La tarea 190, el trabajador 4, el horario 4, el dia 0, rango salarial 1: 1.0
La tarea 190, el trabajador 5, el horario 4, el dia 0, rango salarial 1: 1.0
La tarea 190, el trabajador 11, el horario 4, el dia 0, rango salarial 2: 1.0
La tarea 190, el trabajador 15, el horario 4, el dia 0, rango salarial 2: 1.0
La tarea 190, el trabajador 16, el horario 4, el dia 0, rango salarial 0: 1.0
La tarea 191, el trabajador 6, el horario 4, el dia 0, rango salarial 1: 1.0
La tarea 191, el trabajador 7, el horario 4, el dia 0, rango salarial 2: 1.0
La tarea 191, el trabajador 11, el horario 4, el dia 0, rango salarial 1: 1.0
La tarea 191, el trabajador 13, el horario 4, el dia 0, rango salarial 0: 1.0
La tarea 191, el trabajador 14, el horario 4, el dia 0, rango salarial 1: 1.0
La tarea 191, el trabajador 15, el horario 4, el dia 0, rango salarial 0: 1.0
La tarea 191, el trabajador 16, el horario 4, el dia 0, rango salarial 1: 1.0
La tarea 197, el trabajador 3, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 197, el trabajador 4, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 197, el trabajador 10, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 197, el trabajador 12, el horario 0, el dia 0, rango salarial 0: 1.0

